Potential Energy-BF-B-BF,1
Potential Energy-BF-B-EP,1
Potential Energy-BF-B-NF,1
Potential Energy-BF-N-BP,1
Potential Energy-BF-N-EF,1
Potential Energy-BF-N-EP,1
Potential Energy-BF-N-NF,4
Potential Energy-BF-N-NP,4
Potential Energy-NF-B-BF,2
Potential Energy-NF-B-EP,1
Potential Energy-NF-B-,2
Potential Energy-NF-B-NF,10
Potential Energy-NF-B-NP,6
Potential Energy-NF-N-BF,5
Potential Energy-NF-N-BP,4
Potential Energy-NF-N-EF,4
Potential Energy-NF-N-EP,5
Potential Energy-NF-N-,4
Potential Energy-NF-N-NF,26
Potential Energy-NF-N-NP,51
Potential Energy-NP--,47
Potential Energy-Other--,45
